make: Entering directory '/home/armorer/development/linux/tools/testing/selftests'
make[1]: Entering directory '/home/armorer/development/linux/tools/testing/selftests/alsa'
make[1]: Nothing to be done for 'all'.
make[1]: Leaving directory '/home/armorer/development/linux/tools/testing/selftests/alsa'
make[1]: Entering directory '/home/armorer/development/linux/tools/testing/selftests/alsa'
TAP version 13
1..4
# timeout set to 45
# selftests: alsa: mixer-test
# TAP version 13
# # Card 0/Loopback - Loopback (Loopback 1)
# # Card 1/VirMIDI - VirMIDI (Virtual MIDI Card 1)
# # Card 2/pcmtest - PCM-Test (PCM-Test virtual driver)
# # Card 3/PCH - HDA Intel PCH (HDA Intel PCH at 0xd1314000 irq 53)
# # Card 4/HDMI - HDA Intel HDMI (HDA Intel HDMI at 0xd1310000 irq 57)
# 1..1106
# ok 1 get_value.HDMI.20
# # HDMI.20 Playback Channel Map
# ok 2 name.HDMI.20
# ok 3 write_default.HDMI.20
# ok 4 write_valid.HDMI.20
# ok 5 write_invalid.HDMI.20
# ok 6 event_missing.HDMI.20
# ok 7 event_spurious.HDMI.20
# ok 8 get_value.HDMI.19
# # HDMI.19 Playback Channel Map
# ok 9 name.HDMI.19
# ok 10 write_default.HDMI.19
# ok 11 write_valid.HDMI.19
# ok 12 write_invalid.HDMI.19
# ok 13 event_missing.HDMI.19
# ok 14 event_spurious.HDMI.19
# ok 15 get_value.HDMI.18
# # HDMI.18 Playback Channel Map
# ok 16 name.HDMI.18
# ok 17 write_default.HDMI.18
# ok 18 write_valid.HDMI.18
# ok 19 write_invalid.HDMI.18
# ok 20 event_missing.HDMI.18
# ok 21 event_spurious.HDMI.18
# ok 22 get_value.HDMI.17
# # HDMI.17 ELD
# ok 23 name.HDMI.17
# # ELD is not writeable
# ok 24 # SKIP write_default.HDMI.17
# # ELD is not writeable
# ok 25 # SKIP write_valid.HDMI.17
# # ELD is not writeable
# ok 26 # SKIP write_invalid.HDMI.17
# ok 27 event_missing.HDMI.17
# ok 28 event_spurious.HDMI.17
# ok 29 get_value.HDMI.16
# # HDMI.16 IEC958 Playback Switch
# ok 30 name.HDMI.16
# ok 31 write_default.HDMI.16
# ok 32 write_valid.HDMI.16
# ok 33 write_invalid.HDMI.16
# ok 34 event_missing.HDMI.16
# ok 35 event_spurious.HDMI.16
# ok 36 get_value.HDMI.15
# # HDMI.15 IEC958 Playback Default
# ok 37 name.HDMI.15
# ok 38 write_default.HDMI.15
# ok 39 # SKIP write_valid.HDMI.15
# ok 40 # SKIP write_invalid.HDMI.15
# ok 41 event_missing.HDMI.15
# ok 42 event_spurious.HDMI.15
# ok 43 get_value.HDMI.14
# # HDMI.14 IEC958 Playback Pro Mask
# ok 44 name.HDMI.14
# # IEC958 Playback Pro Mask is not writeable
# ok 45 # SKIP write_default.HDMI.14
# # IEC958 Playback Pro Mask is not writeable
# ok 46 # SKIP write_valid.HDMI.14
# # IEC958 Playback Pro Mask is not writeable
# ok 47 # SKIP write_invalid.HDMI.14
# ok 48 event_missing.HDMI.14
# ok 49 event_spurious.HDMI.14
# ok 50 get_value.HDMI.13
# # HDMI.13 IEC958 Playback Con Mask
# ok 51 name.HDMI.13
# # IEC958 Playback Con Mask is not writeable
# ok 52 # SKIP write_default.HDMI.13
# # IEC958 Playback Con Mask is not writeable
# ok 53 # SKIP write_valid.HDMI.13
# # IEC958 Playback Con Mask is not writeable
# ok 54 # SKIP write_invalid.HDMI.13
# ok 55 event_missing.HDMI.13
# ok 56 event_spurious.HDMI.13
# ok 57 get_value.HDMI.12
# # HDMI.12 HDMI/DP,pcm=8 Jack
# ok 58 name.HDMI.12
# # HDMI/DP,pcm=8 Jack is not writeable
# ok 59 # SKIP write_default.HDMI.12
# # HDMI/DP,pcm=8 Jack is not writeable
# ok 60 # SKIP write_valid.HDMI.12
# # HDMI/DP,pcm=8 Jack is not writeable
# ok 61 # SKIP write_invalid.HDMI.12
# ok 62 event_missing.HDMI.12
# ok 63 event_spurious.HDMI.12
# ok 64 get_value.HDMI.11
# # HDMI.11 ELD
# ok 65 name.HDMI.11
# # ELD is not writeable
# ok 66 # SKIP write_default.HDMI.11
# # ELD is not writeable
# ok 67 # SKIP write_valid.HDMI.11
# # ELD is not writeable
# ok 68 # SKIP write_invalid.HDMI.11
# ok 69 event_missing.HDMI.11
# ok 70 event_spurious.HDMI.11
# ok 71 get_value.HDMI.10
# # HDMI.10 IEC958 Playback Switch
# ok 72 name.HDMI.10
# ok 73 write_default.HDMI.10
# ok 74 write_valid.HDMI.10
# ok 75 write_invalid.HDMI.10
# ok 76 event_missing.HDMI.10
# ok 77 event_spurious.HDMI.10
# ok 78 get_value.HDMI.9
# # HDMI.9 IEC958 Playback Default
# ok 79 name.HDMI.9
# ok 80 write_default.HDMI.9
# ok 81 # SKIP write_valid.HDMI.9
# ok 82 # SKIP write_invalid.HDMI.9
# ok 83 event_missing.HDMI.9
# ok 84 event_spurious.HDMI.9
# ok 85 get_value.HDMI.8
# # HDMI.8 IEC958 Playback Pro Mask
# ok 86 name.HDMI.8
# # IEC958 Playback Pro Mask is not writeable
# ok 87 # SKIP write_default.HDMI.8
# # IEC958 Playback Pro Mask is not writeable
# ok 88 # SKIP write_valid.HDMI.8
# # IEC958 Playback Pro Mask is not writeable
# ok 89 # SKIP write_invalid.HDMI.8
# ok 90 event_missing.HDMI.8
# ok 91 event_spurious.HDMI.8
# ok 92 get_value.HDMI.7
# # HDMI.7 IEC958 Playback Con Mask
# ok 93 name.HDMI.7
# # IEC958 Playback Con Mask is not writeable
# ok 94 # SKIP write_default.HDMI.7
# # IEC958 Playback Con Mask is not writeable
# ok 95 # SKIP write_valid.HDMI.7
# # IEC958 Playback Con Mask is not writeable
# ok 96 # SKIP write_invalid.HDMI.7
# ok 97 event_missing.HDMI.7
# ok 98 event_spurious.HDMI.7
# ok 99 get_value.HDMI.6
# # HDMI.6 HDMI/DP,pcm=7 Jack
# ok 100 name.HDMI.6
# # HDMI/DP,pcm=7 Jack is not writeable
# ok 101 # SKIP write_default.HDMI.6
# # HDMI/DP,pcm=7 Jack is not writeable
# ok 102 # SKIP write_valid.HDMI.6
# # HDMI/DP,pcm=7 Jack is not writeable
# ok 103 # SKIP write_invalid.HDMI.6
# ok 104 event_missing.HDMI.6
# ok 105 event_spurious.HDMI.6
# ok 106 get_value.HDMI.5
# # HDMI.5 ELD
# ok 107 name.HDMI.5
# # ELD is not writeable
# ok 108 # SKIP write_default.HDMI.5
# # ELD is not writeable
# ok 109 # SKIP write_valid.HDMI.5
# # ELD is not writeable
# ok 110 # SKIP write_invalid.HDMI.5
# ok 111 event_missing.HDMI.5
# ok 112 event_spurious.HDMI.5
# ok 113 get_value.HDMI.4
# # HDMI.4 IEC958 Playback Switch
# ok 114 name.HDMI.4
# ok 115 write_default.HDMI.4
# ok 116 write_valid.HDMI.4
# ok 117 write_invalid.HDMI.4
# ok 118 event_missing.HDMI.4
# ok 119 event_spurious.HDMI.4
# ok 120 get_value.HDMI.3
# # HDMI.3 IEC958 Playback Default
# ok 121 name.HDMI.3
# ok 122 write_default.HDMI.3
# ok 123 # SKIP write_valid.HDMI.3
# ok 124 # SKIP write_invalid.HDMI.3
# ok 125 event_missing.HDMI.3
# ok 126 event_spurious.HDMI.3
# ok 127 get_value.HDMI.2
# # HDMI.2 IEC958 Playback Pro Mask
# ok 128 name.HDMI.2
# # IEC958 Playback Pro Mask is not writeable
# ok 129 # SKIP write_default.HDMI.2
# # IEC958 Playback Pro Mask is not writeable
# ok 130 # SKIP write_valid.HDMI.2
# # IEC958 Playback Pro Mask is not writeable
# ok 131 # SKIP write_invalid.HDMI.2
# ok 132 event_missing.HDMI.2
# ok 133 event_spurious.HDMI.2
# ok 134 get_value.HDMI.1
# # HDMI.1 IEC958 Playback Con Mask
# ok 135 name.HDMI.1
# # IEC958 Playback Con Mask is not writeable
# ok 136 # SKIP write_default.HDMI.1
# # IEC958 Playback Con Mask is not writeable
# ok 137 # SKIP write_valid.HDMI.1
# # IEC958 Playback Con Mask is not writeable
# ok 138 # SKIP write_invalid.HDMI.1
# ok 139 event_missing.HDMI.1
# ok 140 event_spurious.HDMI.1
# ok 141 get_value.HDMI.0
